Time,Ax,Ay,Az,Gx,Gy,Gz
0.01657251,-8607.269,1573.308,-5995.954,-7021.584,1128.345,-4278.064,1
0.01656976,-8626.595,1562.194,-5925.614,-7045.344,1147.148,-4223.987,1
0.01657119,-8633.746,1638.484,-5896.578,-7046.406,1153.733,-4242.154,1
0.01657119,-8624.603,1604.439,-5904.027,-7039.44,1176.468,-4238.6,1
0.01657209,-8613.779,1604.971,-5962.392,-7026.794,1208.203,-4294.931,1
0.01657158,-8593.117,1631.179,-6003.184,-7011.115,1208.808,-4279.147,1
0.01657158,-8579.067,1639.063,-5996.473,-7004.984,1205.648,-4281.068,1
0.01656944,-8598.944,1620.826,-5977.867,-7015.913,1202.792,-4284.186,1
0.01657823,-8573.077,1647.214,-5987.92,-6991.837,1157.359,-4291.223,1
0.01656946,-8551.529,1589.009,-6020.887,-6980.02,1114.17,-4289.966,1
0.01666245,-8557.146,1571.545,-6018.642,-6993.419,1120.87,-4315.504,1
0.01657227,-8577.568,1601.156,-5995.887,-7004.756,1134.99,-4277.441,1
0.01657227,-8571.945,1617.504,-5986.635,-7000.557,1155.775,-4289.443,1
0.01657165,-8546.683,1621.144,-6023.47,-6981.377,1158.747,-4330.529,1
0.01656436,-8552.138,1626.649,-6011.5,-6976.867,1149.012,-4273.267,1
0.01656921,-8580.987,1554.869,-5968.724,-6999.056,1141.511,-4316.464,1
0.01664137,-8573.646,1554.778,-5970.742,-7002.353,1098.898,-4293.041,1
0.01657027,-8589.508,1560.017,-6005.996,-7005.64,1056.561,-4326.058,1
0.01657701,-8588.698,1524.546,-6044.427,-7009.45,998.7209,-4322.3,1
0.01656992,-8603.791,1484.039,-6042.451,-7020.96,1052.703,-4357.986,1
0.01657035,-8560.467,1531.282,-6035.17,-6978.961,1083.299,-4333.9,1
0.01657093,-8545.06,1570.37,-6008.812,-6976.189,1047.918,-4289.81,1
0.01657063,-8575.224,1527.901,-6032.677,-7003.797,1084.032,-4305,1
0.01657063,-8575.325,1570.082,-6001.031,-6995.021,1111.641,-4296.562,1
0.01628248,-8571.959,1598.93,-6021.185,-6992.48,1127.246,-4310.585,1
0.01656832,-8547.896,1609.627,-6044.054,-6983.013,1151.616,-4340.453,1
0.01657091,-8548.514,1604.813,-6023.548,-6974.728,1164.083,-4290.851,1
0.01657091,-8506.839,1651.818,-6012.167,-6943.027,1149.087,-4332.58,1
0.01657093,-8529.368,1632.327,-6081.72,-6964.915,1200.991,-4381.457,1
0.01656997,-8520.789,1675.088,-6121.032,-6958.5,1242.482,-4404.507,1
0.01656997,-8527.117,1673.156,-6109.442,-6963.483,1229.212,-4354.26,1
0.01657189,-8515.541,1662.614,-6020.874,-6945.895,1254.593,-4300.271,1
0.0165608,-8486.737,1676.134,-6077.132,-6937.365,1218.584,-4364.643,1
0.01656312,-8517.002,1668.222,-6090.79,-6956.261,1154.951,-4370.466,1
0.01656318,-8533.786,1616.094,-6077.318,-6969.168,1147.488,-4341.156,1
0.01656318,-8510.456,1625.951,-6064.761,-6946.948,1155.625,-4328.445,1
0.01655915,-8529.016,1629.981,-6102.648,-6970.094,1154.56,-4351.534,1
0.01656268,-8530.136,1648.004,-6117.957,-6957.668,1159.461,-4379.413,1
0.01656025,-8486.318,1631.77,-6096.969,-6924.259,1147.025,-4350.982,1
0.01656157,-8466.489,1637.781,-6030.789,-6913.755,1189.579,-4293.726,1
0.01640262,-8495.263,1641.469,-5980.499,-6944.826,1169.32,-4328.363,1
0.01640262,-8481.48,1668.01,-6106.929,-6929.962,1139.965,-4393.215,1
0.0165605,-8503.482,1624.457,-6095.403,-6933.603,1099.769,-4348.451,1
0.01656116,-8493.052,1598.279,-6088.729,-6930.143,1127.581,-4388.411,1
0.01655863,-8499.363,1608.639,-6108.083,-6939.485,1161.934,-4401.091,1
