Time,Ax,Ay,Az,Gx,Gy,Gz
0.01658945,-16400,-952,952,-3088,-244,202
0.01658635,-16324,-876,828,-3120,-131,159
0.01658943,-16392,-908,1032,-3072,-236,165
0.01658943,-16316,-988,892,-3088,-226,330
0.01658695,-16380,-928,1052,-3088,-247,246
0.01658831,-16324,-720,1032,-3040,-263,475
0.01658766,-16292,-684,764,-3056,-230,292
0.01658902,-16268,-760,880,-3088,-169,363
0.01658902,-16424,-780,1036,-3088,-179,288
0.01658783,-16340,-728,844,-3040,-293,309
0.01658808,-16380,-840,936,-3072,-216,148
0.01658912,-16420,-852,1040,-3024,-402,327
0.01658809,-16300,-632,872,-3072,-414,258
0.01658886,-16428,-708,900,-3104,-334,349
0.01658741,-16256,-644,632,-3104,-305,157
0.01658741,-16380,-760,748,-3088,-224,193
0.01658718,-16352,-748,916,-3040,-208,319
0.01658671,-16408,-632,680,-3088,-169,342
0.01658671,-16440,-696,920,-3088,82,125
0.01658556,-16476,-644,824,-3040,149,300
0.0165887,-16384,-760,904,-3088,129,203
0.01658759,-16276,-868,988,-3072,24,260
0.01658664,-16340,-744,948,-3104,-55,243
0.01658797,-16476,-724,764,-3056,-164,343
0.01658797,-16548,-572,616,-3088,-168,404
0.01659405,-16336,-648,716,-3056,16,382
0.01446662,-16360,-808,732,-3088,97,192
0.01446662,-16268,-880,1084,-3088,13,346
0.01659337,-16360,-844,724,-3040,-191,604
0.01659337,-16500,-464,492,-3072,-148,428
0.01659697,-16372,-648,580,-3072,-178,489
0.01651489,-16340,-560,500,-3056,6,171
0.01659552,-16328,-628,880,-3040,-133,109
0.01659448,-16300,-764,616,-3088,-110,10
0.01659387,-16432,-800,896,-3040,-349,271
0.01659387,-16400,-740,768,-3056,-569,626
0.01675729,-16404,-580,500,-3088,-391,497
0.01659523,-16476,-596,576,-3056,-202,212
0.01659476,-16340,-556,600,-3104,-171,402
0.01659412,-16448,-496,468,-3088,-107,425
0.01659412,-16460,-716,524,-3104,20,200
0.01659639,-16512,-680,528,-3056,-69,356
0.01659639,-16352,-548,392,-3056,-58,330
0.01659481,-16320,-604,460,-3072,-78,191
0.01659564,-16364,-780,544,-3056,-104,208
0.01659421,-16420,-808,604,-3072,-159,282
0.01659421,-16380,-696,464,-3072,-185,224
0.01659373,-16376,-536,784,-3056,-191,50
0.01659543,-16248,-656,732,-3056,-387,-50
0.01659543,-16524,-832,520,-3104,-553,27
0.01659491,-16440,-852,584,-3056,-539,170
0.01659491,-16412,-816,644,-3056,-566,398
0.01659409,-16524,-484,264,-3072,-407,529
0.016594,-16264,-364,408,-3040,-138,219
0.0165487,-16356,-560,604,-3088,48,165
0.01664083,-16464,-756,584,-3072,125,177
0.01660483,-16520,-780,592,-3040,67,217
0.01659681,-16368,-672,504,-3072,-41,263
0.01659264,-16420,-740,500,-3072,15,185
0.01659654,-16420,-628,528,-3056,-53,393
0.01659505,-16496,-540,220,-3040,14,172
0.01659505,-16416,-724,688,-3072,32,46
0.0165954,-16276,-748,512,-3056,-86,241
